"Utility.Name","State"
"City of Aberdeen","Mississippi"
"City of Abbeville","Louisiana"
"A & N Electric Coop","Maryland"
"A & N Electric Coop","Virginia"
"Adams Electric Coop","Illinois"
"Adams-Columbia Electric Coop","Wisconsin"
"Adams Rural Electric Coop, Inc","Ohio"
"Village of Arcade","New York"
"City of Adel","Georgia"
"Adrian Public Utilities Comm","Minnesota"
"Agralite Electric Coop","Minnesota"
"Aiken Electric Coop Inc","South Carolina"
"City of Alachua","Florida"
"City of Alameda","California"
"Alaska Village Elec Coop, Inc","Alaska"
"Albany Water Gas & Light Comm","Georgia"
"City of Albemarle","North Carolina"
"Albemarle Electric Member Corp","North Carolina"
"Albertville Municipal Utilities Board","Alabama"
"Alcorn County Elec Power Assn","Mississippi"
"City of Alexander City","Alabama"
"City of Alexandria","Minnesota"
"Alfalfa Electric Coop, Inc","Kansas"
"Alfalfa Electric Coop, Inc","Oklahoma"
"City of Alexandria","Louisiana"
"Alger-Delta Coop Electric Assn","Michigan"
"Algoma Utility Comm","Wisconsin"
"City of Acworth","Georgia"
"City of Algona","Iowa"
"Allamakee-Clayton El Coop, Inc","Iowa"
"City of Alliance","Nebraska"
"Altamaha Electric Member Corp","Georgia"
"City of Altus ","Oklahoma"
"City of Ames","Iowa"
"City of Amherst","Ohio"
"Amicalola Electric Member Corp","Georgia"
"City of Amory","Mississippi"
"City of Alcoa Utilities","Tennessee"
"City of Anaheim","California"
"Anchorage Municipal Light and Power","Alaska"
"City of Andalusia","Alabama"
"City of Anderson","Indiana"
"Connexus Energy","Minnesota"
"City of Bardstown","Kentucky"
"City of Anoka","Minnesota"
"Anza Electric Coop Inc","California"
"Town of Apex","North Carolina"
"Appalachian Electric Coop","Tennessee"
"Arab Electric Coop Inc","Alabama"
"Arkansas Valley Elec Coop Corp","Arkansas"
"Arkansas Valley Elec Coop Corp","Oklahoma"
"City of Arlington","Minnesota"
"Arrowhead Electric Coop, Inc","Minnesota"
"City of Ashland","Oregon"
"City of Aspen","Colorado"
"Atchison-Holt Electric Coop","Iowa"
"Atchison-Holt Electric Coop","Missouri"
"City of Athens","Alabama"
"Athens Utility Board","Tennessee"
"Atlantic Municipal Utilities","Iowa"
"Auburn Board of Public Works","Nebraska"
"City of Auburn","Indiana"
"City of Augusta","Kansas"
"City of Austin","Minnesota"
"Austin Energy","Texas"
"City of Ava","Missouri"
"Town of Ayden","North Carolina"
"City of Azusa","California"
"BARC Electric Coop Inc","Virginia"
"Bagley Public Utilities Comm","Minnesota"
"City of Baldwin City","Kansas"
"Baldwin County El Member Corp","Alabama"
"Bailey County Elec Coop Assn","Texas"
"Bandera Electric Coop, Inc","Texas"
"City of Bandon","Oregon"
"Village of Bangor","Wisconsin"
"City of Banning","California"
"Village of Baraga","Michigan"
"Barbourville Utility Comm","Kentucky"
"City of Barnesville","Minnesota"
"Barron Electric Coop","Wisconsin"
"Bartlett Electric Coop, Inc","Texas"
"Barrow Utils & Elec Coop, Inc","Alaska"
"Barry Electric Coop","Missouri"
"Bartholomew County Rural E M C","Indiana"
"City of Bartow","Florida"
"Barton County Elec Coop, Inc","Missouri"
"City of Batavia","Illinois"
"City of Bay City","Michigan"
"Bayfield Electric Coop, Inc","Michigan"
"Bayfield Electric Coop, Inc","Wisconsin"
"Beartooth Electric Coop, Inc","Montana"
"Beartooth Electric Coop, Inc","Wyoming"
"City of Beatrice","Nebraska"
"Town of Bedford","Virginia"
"Beauregard Electric Coop, Inc","Louisiana"
"Town of Belmont","Massachusetts"
"City of Beloit","Kansas"
"Beltrami Electric Coop, Inc","Minnesota"
"City of Bennettsville","South Carolina"
"City of Benson","Minnesota"
"Benton County","Tennessee"
"PUD No 1 of Benton County","Washington"
"City of Benton","Arkansas"
"City of Benton","Kentucky"
"City of Bentonville","Arkansas"
"Big Country Electric Coop, Inc","Texas"
"City of Beresford","South Dakota"
"Berkeley Electric Coop Inc","South Carolina"
"Benton Rural Electric Assn","Washington"
"City of Bessemer Utilities","Alabama"
"Big Horn Rural Electric Co","Montana"
"Big Horn Rural Electric Co","Wyoming"
"Big Horn County Elec Coop, Inc","Montana"
"Big Horn County Elec Coop, Inc","Wyoming"
"Big Sandy Rural Elec Coop Corp","Kentucky"
"Big Bend Electric Coop, Inc","Washington"
"Blachly-Lane County Coop El Assn","Oregon"
"Black River Electric Coop, Inc","South Carolina"
"Black Hills Electric Coop, Inc","South Dakota"
