Data Name,Resource Type,Data Type,Source,Period of Record (published or applicable),Spatial Coverage,Spatial Scale or Resolution,Temporal Scale or Resolution,Methodology Used,Units,Stated Accuracy,Availability/ Distribution,Link,Update Frequency,Abstract/Comments/Notes
Biomass as Feedstock for a Bioenergy and Bioproducts Industry:  The Technical Feasibility of a Billion-Ton Annual Supply,Biomass,Report,Oak Ridge National Laboratory,"April, 2005",National,National,Annual,Statistical analysis and modeling,dry ton/yr,Unknown,Public,http://www.lbl.gov/Science-Articles/Archive/sabl/2006/Mar/Billion-Ton-Vision.pdf,Unknown,This report determines whether the land resources are capable of producing a sustainable supply of biomass sufficient to displace 30% or more of the country's present petroleum consumption by examining the potential resource availability of agricultural and forest lands for biomass energy production.
Biomass Feedstock Availability in the United States:  1999 State Level Analysis,Biomass,Report & Tabular,Oak Ridge National Laboratory,"January, 2000",National,State,Annual,Statistical analysis and modeling,Dry ton/yr,Unknown,Public,http://bioenergy.ornl.gov/resourcedata/index.html,Unknown,"Estimates of biomass quantities and prices for each state in the continental U.S., with links to a spreadsheet containing estimates of biomass quantities potentially available in five categories: mill wastes, urban wastes, forest residues, agricultural residues and energy crops. Availabilities are sorted by anticipated delivered price. Superseded by an updated study by Marie Walsh and the University of Tennessee in 2006."
National Biomass Resource Assessment/ A Geographic Perspective on the Current Biomass Resource Availability in the United States,Biomass,"Report, Tabular, GIS",National Renewable Energy Laboratory,"December, 2005",National,County,Annual,Statistical analysis,Varies by technology,Unknown,Public,http://www.nrel.gov/docs/fy06osti/39181.pdf,Updated in 2009: http://www.nrel.gov/gis/biomass.html ,"This analysis illustrates the biomass resources available in the United States by county. Biomass feedstock data are analyzed both statistically and graphically using GIS. The following feedstock categories are evaluated: crop residues, forest residues, primary and secondary mill residues, urban wood waste, and methane emissions from manure management, landfills, and domestic wastewater treatment. The resource potential is based on county level statistics gathered from U.S. Department of Agriculture, U.S. Forest Service, EPA and other organizations.  "
Biomass from Crop Residues: Cost and Supply Estimates.,Biomass,Report & Tabular,Office of Energy Policy and New Uses,"February, 2003",National,"State, Region",Annual,Statistical analysis,"lbs/acre, lbs, $/ton",Unknown,Public,http://www.usda.gov/oce/reports/energy/AER819.pdf,Unknown,"The analysis estimated the supply of harvested crop residues as a feed stock for energy products. The estimates account for economic and environmental factors governing residue supply. The supply results span major agricultural crops in four distinct cropping regions of the United States, taking into account local variation in cost-determining factors such as residue yield, geographic density ofresidues, and competition for livestock feed use."
Biomass Residue Supply Curves for the United States,Biomass,"Report, Tables, Maps",Antares Group Inc.,"June, 1999",National,State,Annual,Statistical analysis,Dry tons/yr,Unknown,Limited,,Unknown,"The project estimated the availability of biomass resources and built supply curves for each state. It focused on woody biomass resources such as forestry, mills, and urban residues."
"Urban Wood Waste ResourceAssessment",Biomass,Report & Tables,"Appel Consultants, Inc.","November, 1998",National,30  metropolitan areas,Annual,Statistical analysis,Tons/yr,Unknown,Public,http://www.p2pays.org/ref/19/18947.pdf,Unknown,"This study collected and analyzed data on urban wood waste resources in 30 randomly selected metropolitan areas in the United States. The metropolitan areas ranged in size from Bismarck, North Dakota (83,831) to Washington, DC (3,923,574).Three major categories of urban wood wastes were considered in this study: MSW wood, industrial wood, and Construction/Demolition debris."
Lignocellulosic Feedstock Resource Assessment.,Biomass,"Report, Tables, Maps",NEOS Corporation,"September, 1998",National,State,Annual,Statistical analysis,Dry tons,Unknown,Public,http://www.nrel.gov/docs/legosti/fy98/24189.pdf,Unknown,"This study describes the distribution, quantity, availability, competing uses, and current market value of select lignocellulosic feedstock in the United States. It provides feedstock data at a state  level. "
"Secondary Mill Residues and Urban Wood WasteQuantities in the United States",Biomass,Report & Tabular,"Jeffrey E. Fehrs, P.E.Williston, Vermont","December, 1999",National,National,Annual,Statistical analysis,Tons/year,Unknown,Public,http://www.nrbp.org/pdfs/pub21.pdf,Unknown,"This study focuses on secondary mill residues and urban wood wastes, and estimates quantities and prices based on seven national wood waste assessments completed by others."
Biomass Energy Data Book,Biomass,"Report, Tables, Maps",Oak Ridge National Laboratory,"December, 2009",National,State,Annual,Statistical analysis,"Acres, dry tons",Unknown,Public,http://cta.ornl.gov/bedb/index.shtml ,Unknown,"The book represents an assembly and display of statistics and information that characterize the biomass industry, from the production of biomass feedstocks to their end use. It inlcudes the following feedstocks: grains and oilseed crops, some crop residues, forest residues, secondary mill residues and urban wood waste (construction and demolition wood debris, municipal solid wastes, and landfill gases)."
U.S. Cellulose Biomass Feedstock Supplies and Distribution,Biomass,"Report, Tables, Maps",Marie Walsh & University of Tennessee's POLYSYS Team,"April, 2006 and subsequent updates",National,County,Annual,Statistical analysis and modeling,Dry tons/yr,Unknown,Public,http://bioweb.sungrant.org,Unknown,"Agricultural residues (corn and wheat assuming current mix of tillage practices), forestry, mill, urban wood wastes and potential bioenergy crops (primarily switchgrass).  Sensitivity cases for agricultural residues were analyzed, i.e., different tillage practices. Interim updated results are posted on http://bioweb.sungrant.org subsequent to the April 2006 release of the report. Corn stover removal is constrained by the need to maintain soil characteristics."
