State,Photovoltaic,UrbanPV,RuralPV,RooftopPV,CSP,OnshoreWind,OffshoreWind,BiopowerSolid,BioPowerGaseous,GeothermalHydrothermal,EGSGeothermal,Hydropower
Alabama,3758163,35850,3706838,15475,0,283,0,11193,1533,0,535489,4102
Alaska,8283142,166,8282976,NA,0,1373433,NA,513,61,15437,NA,23675
Arizona,12011734,121305,11867693,22736,12544333,26036,NA,1087,837,8329,1239147,1303
Arkansas,5023832,28960,4986388,8484,0,22892,NA,14381,1063,0,628621,6093
California,9208336,246008,8855917,106411,8490916,89862,2662579,12408,15510,130921,1344179,30023
Colorado,10297715,43470,10238083,16162,9154524,1096035,NA,2913,1224,8953,1251657,7789
Connecticut,33959,7716,19627,6616,0,61,26545,494,414,0,56078,922
Delaware,289373,14856,272332,2185,0,21,60654,512,385,0,22813,30
District of Columbia,2498,8,0,2490,0,0,NA,61,4,0,697,0
Florida,5274119,72787,5137346,63986,358,0,34684,9664,3693,0,374161,682
Georgia,5566465,43166,5492183,31116,0,322,220807,14682,2220,0,353206,1988
Hawaii,41757,3725,38032,NA,15369,7786,2836735,524,200,20632,NA,2602
Idaho,3964092,23194,3936847,4051,3502877,44319,NA,5775,182,17205,993257,18757
Illinois,8224622,103551,8090985,30086,0,649467,66070,27738,4222,0,676055,4882
Indiana,4992151,98815,4876185,17151,0,377603,165,14941,2978,0,434258,2394
Iowa,7029896,27091,6994159,8646,0,1723587,NA,27502,1425,0,606390,2818
Kansas,14540816,31705,14500149,8962,7974255,3101575,NA,12104,753,0,989675,2507
Kentucky,1862802,26514,1823976,12312,0,147,NA,7048,1273,0,484658,4255
Louisiana,4184642,55669,4114605,14368,0,934,1200698,14016,857,0,484271,2423
Maine,1105986,3216,1100327,2443,0,28742,631960,4273,124,0,377075,3916
Maryland,629349,28551,585949,14849,0,3631,200852,2102,1226,0,86649,814
Massachusetts,111395,17469,82204,11722,0,2827,799344,1045,1103,0,92227,1196
Michigan,5290011,50845,5215639,23527,0,143907,1739800,9358,2539,0,457850,1180
Minnesota,10840505,33370,10792814,14321,0,1428524,100454,20361,1029,0,369784,1254
Mississippi,5016232,26366,4981252,8614,0,0,10172,14209,1076,0,559056,2211
Missouri,5381976,30549,5335268,16159,0,689519,NA,11837,2147,0,835444,7198
Montana,8200905,11370,8187341,2194,1540287,2746271,NA,4924,147,6547,1647303,14546
Nebraska,9285046,12954,9266756,5336,4846929,3011252,NA,16271,750,0,927996,3142
Nevada,8650114,24893,8614454,10767,8295752,17709,NA,288,325,45320,1262174,845
New Hampshire,63451,3790,57363,2298,0,5706,14477,953,389,0,104314,1740
New Jersey,499847,44307,439773,15767,0,317,429807,1212,2310,0,35230,549
New Mexico,16396412,71356,16318543,6513,16812349,1399156,NA,595,353,12933,1417978,1362
New York,1574148,52803,1492566,28779,0,63565,614279,5558,2950,0,375400,6711
North Carolina,4329554,68346,4232789,28419,0,2037,1269626,12869,3780,0,420741,3036
North Dakota,9741234,4871,9734447,1916,36049,2537824,NA,8186,30,0,820226,347
Ohio,3742740,86495,3626181,30064,0,129142,170561,11009,3363,0,495921,3045
Oklahoma,9404402,50040,9341920,12442,5068036,1521651,NA,4128,965,0,779667,3015
Oregon,3774583,25783,3740478,8322,2812126,68766,962722,13793,890,18199,914105,18184
Pennsylvania,631732,56161,553356,22215,0,8230,23571,6313,7132,0,327340,8368
Rhode Island,17133,1787,13636,1710,0,129,89114,143,474,0,11491,59
South Carolina,2803219,33834,2754973,14412,0,427,542218,6984,1430,0,364104,1888
South Dakota,10015528,4573,10008873,2082,1629659,2901858,NA,8380,235,0,921972,1047
Tennessee,2295917,50243,2225989,19685,0,765,NA,6095,1984,0,428380,5744
Texas,39366981,294684,38993581,78716,22786749,5552399,1101062,16077,5898,0,3030250,3006
Utah,5222883,30492,5184878,7513,5067546,31552,NA,433,427,12981,939380,3528
Vermont,57474,1632,54727,1115,0,7795,NA,491,203,0,35616,1710
Virginia,1932184,27451,1882467,22266,0,4589,361053,7866,2498,0,290736,3656
Washington,1785439,33690,1738150,13599,161713,47249,488025,12311,1514,2546,563023,27248
West Virginia,59936,3023,52693,4220,0,4951,NA,2406,281,0,261376,4408
Wisconsin,5111135,54938,5042258,13939,0,255266,317754,11221,2072,0,647173,2286
Wyoming,5736006,7232,5727224,1550,5406407,1653856,NA,503,50,1373,1070078,4445
